,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1112,2,2,2013-01-01,0,0,0,0,a,1
2227,2,3,2013-01-02,4422,650,1,0,0,1
3342,2,4,2013-01-03,4159,555,1,0,0,1
4457,2,5,2013-01-04,4484,574,1,0,0,1
5572,2,6,2013-01-05,2342,324,1,0,0,0
6687,2,7,2013-01-06,0,0,0,0,0,0
7802,2,1,2013-01-07,6775,763,1,1,0,0
8917,2,2,2013-01-08,6318,685,1,1,0,0
10032,2,3,2013-01-09,6763,785,1,1,0,0
11147,2,4,2013-01-10,5618,637,1,1,0,0
12262,2,5,2013-01-11,4810,539,1,1,0,0
13377,2,6,2013-01-12,2630,337,1,0,0,0
14492,2,7,2013-01-13,0,0,0,0,0,0
15607,2,1,2013-01-14,3995,530,1,0,0,0
16722,2,2,2013-01-15,4075,513,1,0,0,0
17837,2,3,2013-01-16,4198,591,1,0,0,0
18952,2,4,2013-01-17,2973,403,1,0,0,0
20067,2,5,2013-01-18,3441,434,1,0,0,0
21182,2,6,2013-01-19,2399,303,1,0,0,0
22297,2,7,2013-01-20,0,0,0,0,0,0
23412,2,1,2013-01-21,6311,662,1,1,0,0
24527,2,2,2013-01-22,5803,656,1,1,0,0
25642,2,3,2013-01-23,5974,690,1,1,0,0
26757,2,4,2013-01-24,5091,582,1,1,0,0
27872,2,5,2013-01-25,4589,522,1,1,0,0
28987,2,6,2013-01-26,2205,303,1,0,0,0
30102,2,7,2013-01-27,0,0,0,0,0,0
31217,2,1,2013-01-28,3549,488,1,0,0,0
32332,2,2,2013-01-29,3461,476,1,0,0,0
33447,2,3,2013-01-30,4446,608,1,0,0,0
34562,2,4,2013-01-31,4340,517,1,0,0,0
35677,2,5,2013-02-01,4545,554,1,0,0,0
36792,2,6,2013-02-02,2956,361,1,0,0,0
37907,2,7,2013-02-03,0,0,0,0,0,0
39022,2,1,2013-02-04,6480,688,1,1,0,0
40137,2,2,2013-02-05,6269,674,1,1,0,0
41252,2,3,2013-02-06,6438,769,1,1,0,0
42367,2,4,2013-02-07,5575,638,1,1,0,0
43482,2,5,2013-02-08,4203,491,1,1,0,0
44597,2,6,2013-02-09,3031,354,1,0,0,0
45712,2,7,2013-02-10,0,0,0,0,0,0
46827,2,1,2013-02-11,4303,582,1,0,0,0
47942,2,2,2013-02-12,3968,504,1,0,0,0
49057,2,3,2013-02-13,5001,678,1,0,0,0
50172,2,4,2013-02-14,4439,574,1,0,0,0
51287,2,5,2013-02-15,3812,494,1,0,0,0
52402,2,6,2013-02-16,2401,290,1,0,0,0
53517,2,7,2013-02-17,0,0,0,0,0,0
54632,2,1,2013-02-18,7493,757,1,1,0,1
55747,2,2,2013-02-19,5734,588,1,1,0,1
56862,2,3,2013-02-20,6116,689,1,1,0,1
57977,2,4,2013-02-21,5276,589,1,1,0,1
59092,2,5,2013-02-22,4552,509,1,1,0,1
60207,2,6,2013-02-23,1919,230,1,0,0,0
61322,2,7,2013-02-24,0,0,0,0,0,0
62437,2,1,2013-02-25,3084,432,1,0,0,0
63552,2,2,2013-02-26,3919,480,1,0,0,0
64667,2,3,2013-02-27,4741,635,1,0,0,0
65782,2,4,2013-02-28,4859,565,1,0,0,0
66897,2,5,2013-03-01,4290,555,1,0,0,0
68012,2,6,2013-03-02,2643,353,1,0,0,0
69127,2,7,2013-03-03,0,0,0,0,0,0
70242,2,1,2013-03-04,7993,790,1,1,0,0
71357,2,2,2013-03-05,6357,660,1,1,0,0
72472,2,3,2013-03-06,6842,806,1,1,0,0
73587,2,4,2013-03-07,5747,640,1,1,0,0
74702,2,5,2013-03-08,4822,594,1,1,0,0
75817,2,6,2013-03-09,2208,281,1,0,0,0
76932,2,7,2013-03-10,0,0,0,0,0,0
78047,2,1,2013-03-11,3778,505,1,0,0,0
79162,2,2,2013-03-12,2991,424,1,0,0,0
80277,2,3,2013-03-13,3874,516,1,0,0,0
81392,2,4,2013-03-14,3964,514,1,0,0,0
82507,2,5,2013-03-15,4181,491,1,0,0,0
83622,2,6,2013-03-16,2956,346,1,0,0,0
84737,2,7,2013-03-17,0,0,0,0,0,0
85852,2,1,2013-03-18,7593,712,1,1,0,0
86967,2,2,2013-03-19,6224,670,1,1,0,0
88082,2,3,2013-03-20,6783,826,1,1,0,0
89197,2,4,2013-03-21,5322,609,1,1,0,0
90312,2,5,2013-03-22,4955,540,1,1,0,0
91427,2,6,2013-03-23,2691,330,1,0,0,0
92542,2,7,2013-03-24,0,0,0,0,0,0
93657,2,1,2013-03-25,8412,844,1,1,0,1
94772,2,2,2013-03-26,6384,702,1,1,0,1
95887,2,3,2013-03-27,7880,892,1,1,0,1
97002,2,4,2013-03-28,7229,801,1,1,0,1
98117,2,5,2013-03-29,0,0,0,1,b,1
99232,2,6,2013-03-30,4406,493,1,0,0,0
100347,2,7,2013-03-31,0,0,0,0,0,0
101462,2,1,2013-04-01,0,0,0,0,b,1
102577,2,2,2013-04-02,3643,507,1,0,0,1
103692,2,3,2013-04-03,4250,600,1,0,0,1
104807,2,4,2013-04-04,4114,542,1,0,0,1
105922,2,5,2013-04-05,3872,470,1,0,0,1
107037,2,6,2013-04-06,2461,315,1,0,0,0
108152,2,7,2013-04-07,0,0,0,0,0,0
109267,2,1,2013-04-08,6696,732,1,1,0,0
110382,2,2,2013-04-09,6574,667,1,1,0,0
111497,2,3,2013-04-10,6520,780,1,1,0,0
112612,2,4,2013-04-11,5301,606,1,1,0,0
113727,2,5,2013-04-12,4334,519,1,1,0,0
114842,2,6,2013-04-13,2561,324,1,0,0,0
115957,2,7,2013-04-14,0,0,0,0,0,0
117072,2,1,2013-04-15,3850,548,1,0,0,0
118187,2,2,2013-04-16,4059,542,1,0,0,0
119302,2,3,2013-04-17,4776,683,1,0,0,0
120417,2,4,2013-04-18,3516,517,1,0,0,0
121532,2,5,2013-04-19,3525,466,1,0,0,0
122647,2,6,2013-04-20,2701,341,1,0,0,0
123762,2,7,2013-04-21,0,0,0,0,0,0
124877,2,1,2013-04-22,6774,719,1,1,0,0
125992,2,2,2013-04-23,5775,634,1,1,0,0
127107,2,3,2013-04-24,6260,766,1,1,0,0
128222,2,4,2013-04-25,4689,571,1,1,0,0
129337,2,5,2013-04-26,4914,604,1,1,0,0
130452,2,6,2013-04-27,2134,297,1,0,0,0
131567,2,7,2013-04-28,0,0,0,0,0,0
132682,2,1,2013-04-29,6707,744,1,1,0,0
133797,2,2,2013-04-30,6872,708,1,1,0,0
134912,2,3,2013-05-01,0,0,0,1,a,0
136027,2,4,2013-05-02,6699,762,1,1,0,0
137142,2,5,2013-05-03,5938,794,1,1,0,0
138257,2,6,2013-05-04,2260,339,1,0,0,0
139372,2,7,2013-05-05,0,0,0,0,0,0
140487,2,1,2013-05-06,3840,511,1,0,0,0
141602,2,2,2013-05-07,4131,542,1,0,0,0
142717,2,3,2013-05-08,5605,752,1,0,0,0
143832,2,4,2013-05-09,0,0,0,0,a,0
144947,2,5,2013-05-10,4888,636,1,0,0,1
146062,2,6,2013-05-11,2702,367,1,0,0,0
147177,2,7,2013-05-12,0,0,0,0,0,0
148292,2,1,2013-05-13,6604,739,1,1,0,0
149407,2,2,2013-05-14,5913,672,1,1,0,0
150522,2,3,2013-05-15,6263,807,1,1,0,0
151637,2,4,2013-05-16,5317,635,1,1,0,0
152752,2,5,2013-05-17,4582,541,1,1,0,0
153867,2,6,2013-05-18,2343,325,1,0,0,0
154982,2,7,2013-05-19,0,0,0,0,0,0
156097,2,1,2013-05-20,0,0,0,0,a,0
157212,2,2,2013-05-21,4548,622,1,0,0,0
158327,2,3,2013-05-22,4663,609,1,0,0,0
159442,2,4,2013-05-23,3916,553,1,0,0,0
160557,2,5,2013-05-24,3778,534,1,0,0,0
161672,2,6,2013-05-25,2823,453,1,0,0,0
162787,2,7,2013-05-26,0,0,0,0,0,0
163902,2,1,2013-05-27,6751,678,1,1,0,0
165017,2,2,2013-05-28,5732,665,1,1,0,0
166132,2,3,2013-05-29,5345,679,1,1,0,0
167247,2,4,2013-05-30,5822,631,1,1,0,0
168362,2,5,2013-05-31,5916,632,1,1,0,0
169477,2,6,2013-06-01,2335,295,1,0,0,0
170592,2,7,2013-06-02,0,0,0,0,0,0
171707,2,1,2013-06-03,6959,753,1,1,0,0
172822,2,2,2013-06-04,6280,709,1,1,0,0
173937,2,3,2013-06-05,6682,823,1,1,0,0
175052,2,4,2013-06-06,4776,580,1,1,0,0
176167,2,5,2013-06-07,5237,587,1,1,0,0
177282,2,6,2013-06-08,2246,306,1,0,0,0
178397,2,7,2013-06-09,0,0,0,0,0,0
179512,2,1,2013-06-10,3786,495,1,0,0,0
180627,2,2,2013-06-11,4233,595,1,0,0,0
181742,2,3,2013-06-12,4638,645,1,0,0,0
182857,2,4,2013-06-13,3763,490,1,0,0,0
183972,2,5,2013-06-14,4437,558,1,0,0,0
185087,2,6,2013-06-15,2724,372,1,0,0,0
186202,2,7,2013-06-16,0,0,0,0,0,0
187317,2,1,2013-06-17,7259,743,1,1,0,0
188432,2,2,2013-06-18,5309,611,1,1,0,0
189547,2,3,2013-06-19,5708,734,1,1,0,0
190662,2,4,2013-06-20,4683,547,1,1,0,0
191777,2,5,2013-06-21,5333,626,1,1,0,0
192892,2,6,2013-06-22,2566,361,1,0,0,0
194007,2,7,2013-06-23,0,0,0,0,0,0
195122,2,1,2013-06-24,4388,562,1,0,0,0
196237,2,2,2013-06-25,3921,533,1,0,0,0
197352,2,3,2013-06-26,4869,684,1,0,0,0
198467,2,4,2013-06-27,4791,575,1,0,0,0
199582,2,5,2013-06-28,5261,664,1,0,0,0
200697,2,6,2013-06-29,3687,428,1,0,0,0
201812,2,7,2013-06-30,0,0,0,0,0,0
202927,2,1,2013-07-01,6336,715,1,1,0,0
204042,2,2,2013-07-02,5862,728,1,1,0,0
205157,2,3,2013-07-03,6527,811,1,1,0,0
206272,2,4,2013-07-04,5820,788,1,1,0,0
207387,2,5,2013-07-05,5288,1036,1,1,0,0
208502,2,6,2013-07-06,4504,1164,1,0,0,0
209617,2,7,2013-07-07,0,0,0,0,0,0
210732,2,1,2013-07-08,4460,565,1,0,0,0
211847,2,2,2013-07-09,4600,582,1,0,0,0
212962,2,3,2013-07-10,5244,735,1,0,0,0
214077,2,4,2013-07-11,4772,593,1,0,0,0
215192,2,5,2013-07-12,4605,560,1,0,0,0
216307,2,6,2013-07-13,2838,357,1,0,0,0
217422,2,7,2013-07-14,0,0,0,0,0,0
218537,2,1,2013-07-15,8528,804,1,1,0,1
219652,2,2,2013-07-16,6670,705,1,1,0,1
220767,2,3,2013-07-17,6219,804,1,1,0,1
221882,2,4,2013-07-18,5907,659,1,1,0,1
222997,2,5,2013-07-19,4885,601,1,1,0,1
224112,2,6,2013-07-20,2670,326,1,0,0,0
225227,2,7,2013-07-21,0,0,0,0,0,0
226342,2,1,2013-07-22,3658,490,1,0,0,1
227457,2,2,2013-07-23,3726,469,1,0,0,1
228572,2,3,2013-07-24,4282,611,1,0,0,1
229687,2,4,2013-07-25,3531,496,1,0,0,1
230802,2,5,2013-07-26,3441,438,1,0,0,1
231917,2,6,2013-07-27,2059,292,1,0,0,0
233032,2,7,2013-07-28,0,0,0,0,0,0
234147,2,1,2013-07-29,7249,717,1,1,0,1
235262,2,2,2013-07-30,6802,702,1,1,0,1
236377,2,3,2013-07-31,8295,942,1,1,0,1
237492,2,4,2013-08-01,5640,643,1,1,0,1
238607,2,5,2013-08-02,4776,545,1,1,0,1
239722,2,6,2013-08-03,2641,353,1,0,0,0
240837,2,7,2013-08-04,0,0,0,0,0,0
241952,2,1,2013-08-05,4066,526,1,0,0,1
243067,2,2,2013-08-06,3434,475,1,0,0,1
244182,2,3,2013-08-07,4467,650,1,0,0,1
245297,2,4,2013-08-08,3949,520,1,0,0,1
246412,2,5,2013-08-09,3551,456,1,0,0,1
247527,2,6,2013-08-10,2624,312,1,0,0,0
248642,2,7,2013-08-11,0,0,0,0,0,0
249757,2,1,2013-08-12,6518,725,1,1,0,1
250872,2,2,2013-08-13,6154,640,1,1,0,1
251987,2,3,2013-08-14,7229,860,1,1,0,1
253102,2,4,2013-08-15,5186,619,1,1,0,1
254217,2,5,2013-08-16,4895,571,1,1,0,1
255332,2,6,2013-08-17,2731,353,1,0,0,0
256447,2,7,2013-08-18,0,0,0,0,0,0
257562,2,1,2013-08-19,3747,528,1,0,0,1
258677,2,2,2013-08-20,3894,517,1,0,0,1
259792,2,3,2013-08-21,4399,655,1,0,0,1
260907,2,4,2013-08-22,3998,536,1,0,0,1
262022,2,5,2013-08-23,3652,523,1,0,0,1
263137,2,6,2013-08-24,2546,343,1,0,0,0
264252,2,7,2013-08-25,0,0,0,0,0,0
265367,2,1,2013-08-26,7453,752,1,1,0,0
266482,2,2,2013-08-27,6529,717,1,1,0,0
267597,2,3,2013-08-28,6474,811,1,1,0,0
268712,2,4,2013-08-29,5527,635,1,1,0,0
269827,2,5,2013-08-30,6280,702,1,1,0,0
270942,2,6,2013-08-31,2803,348,1,0,0,0
272057,2,7,2013-09-01,0,0,0,0,0,0
273172,2,1,2013-09-02,4305,547,1,0,0,0
274287,2,2,2013-09-03,4199,549,1,0,0,0
275402,2,3,2013-09-04,4709,673,1,0,0,0
276517,2,4,2013-09-05,3784,531,1,0,0,0
277632,2,5,2013-09-06,3793,471,1,0,0,0
278747,2,6,2013-09-07,2540,330,1,0,0,0
279862,2,7,2013-09-08,0,0,0,0,0,0
280977,2,1,2013-09-09,7005,726,1,1,0,0
282092,2,2,2013-09-10,6578,707,1,1,0,0
283207,2,3,2013-09-11,6537,791,1,1,0,0
284322,2,4,2013-09-12,5558,618,1,1,0,0
285437,2,5,2013-09-13,4954,550,1,1,0,0
286552,2,6,2013-09-14,2841,352,1,0,0,0
287667,2,7,2013-09-15,0,0,0,0,0,0
288782,2,1,2013-09-16,3837,509,1,0,0,0
289897,2,2,2013-09-17,3823,525,1,0,0,0
291012,2,3,2013-09-18,4574,625,1,0,0,0
292127,2,4,2013-09-19,3840,509,1,0,0,0
293242,2,5,2013-09-20,3949,475,1,0,0,0
294357,2,6,2013-09-21,2651,335,1,0,0,0
295472,2,7,2013-09-22,0,0,0,0,0,0
296587,2,1,2013-09-23,6802,677,1,1,0,0
297702,2,2,2013-09-24,6387,670,1,1,0,0
298817,2,3,2013-09-25,6708,858,1,1,0,0
299932,2,4,2013-09-26,5795,629,1,1,0,0
301047,2,5,2013-09-27,4874,547,1,1,0,0
302162,2,6,2013-09-28,3428,383,1,0,0,0
303277,2,7,2013-09-29,0,0,0,0,0,0
304392,2,1,2013-09-30,5610,691,1,0,0,0
305507,2,2,2013-10-01,3830,539,1,0,0,0
306622,2,3,2013-10-02,5238,691,1,0,0,0
307737,2,4,2013-10-03,2656,381,1,0,a,0
308852,2,5,2013-10-04,4671,547,1,0,0,0
309967,2,6,2013-10-05,2688,342,1,0,0,0
311082,2,7,2013-10-06,0,0,0,0,0,0
312197,2,1,2013-10-07,7368,737,1,1,0,0
313312,2,2,2013-10-08,6282,691,1,1,0,0
314427,2,3,2013-10-09,7006,826,1,1,0,0
315542,2,4,2013-10-10,4972,555,1,1,0,0
316657,2,5,2013-10-11,4923,547,1,1,0,0
317772,2,6,2013-10-12,2914,344,1,0,0,0
318887,2,7,2013-10-13,0,0,0,0,0,0
320002,2,1,2013-10-14,4528,578,1,0,0,0
321117,2,2,2013-10-15,3584,472,1,0,0,0
322232,2,3,2013-10-16,5035,679,1,0,0,0
323347,2,4,2013-10-17,3986,519,1,0,0,0
324462,2,5,2013-10-18,4095,548,1,0,0,0
325577,2,6,2013-10-19,2441,325,1,0,0,0
326692,2,7,2013-10-20,0,0,0,0,0,0
327807,2,1,2013-10-21,6538,730,1,1,0,1
328922,2,2,2013-10-22,5450,582,1,1,0,1
330037,2,3,2013-10-23,5896,754,1,1,0,1
331152,2,4,2013-10-24,5015,604,1,1,0,1
332267,2,5,2013-10-25,4524,531,1,1,0,1
333382,2,6,2013-10-26,2517,348,1,0,0,0
334497,2,7,2013-10-27,0,0,0,0,0,0
335612,2,1,2013-10-28,3859,526,1,0,0,1
336727,2,2,2013-10-29,4074,532,1,0,0,1
337842,2,3,2013-10-30,6272,796,1,0,0,1
338957,2,4,2013-10-31,0,0,0,0,a,1
340072,2,5,2013-11-01,5507,664,1,0,0,1
341187,2,6,2013-11-02,2688,355,1,0,0,0
342302,2,7,2013-11-03,0,0,0,0,0,0
343417,2,1,2013-11-04,7930,768,1,1,0,0
344532,2,2,2013-11-05,6368,681,1,1,0,0
345647,2,3,2013-11-06,6941,798,1,1,0,0
346762,2,4,2013-11-07,5570,630,1,1,0,0
347877,2,5,2013-11-08,5441,590,1,1,0,0
348992,2,6,2013-11-09,3145,376,1,0,0,0
350107,2,7,2013-11-10,0,0,0,0,0,0
351222,2,1,2013-11-11,4017,509,1,0,0,0
352337,2,2,2013-11-12,4116,537,1,0,0,0
353452,2,3,2013-11-13,4980,668,1,0,0,0
354567,2,4,2013-11-14,4388,541,1,0,0,0
355682,2,5,2013-11-15,4042,505,1,0,0,0
356797,2,6,2013-11-16,2829,359,1,0,0,0
357912,2,7,2013-11-17,0,0,0,0,0,0
359027,2,1,2013-11-18,7435,735,1,1,0,0
360142,2,2,2013-11-19,6016,660,1,1,0,0
361257,2,3,2013-11-20,6390,690,1,1,0,0
362372,2,4,2013-11-21,5397,571,1,1,0,0
363487,2,5,2013-11-22,4474,537,1,1,0,0
364602,2,6,2013-11-23,2965,335,1,0,0,0
365717,2,7,2013-11-24,0,0,0,0,0,0
366832,2,1,2013-11-25,4669,556,1,0,0,0
367947,2,2,2013-11-26,4303,543,1,0,0,0
369062,2,3,2013-11-27,5498,694,1,0,0,0
370177,2,4,2013-11-28,5149,579,1,0,0,0
371292,2,5,2013-11-29,5027,587,1,0,0,0
372407,2,6,2013-11-30,3343,365,1,0,0,0
373522,2,7,2013-12-01,0,0,0,0,0,0
374637,2,1,2013-12-02,8836,850,1,1,0,0
375752,2,2,2013-12-03,8137,741,1,1,0,0
376867,2,3,2013-12-04,8202,854,1,1,0,0
377982,2,4,2013-12-05,7163,701,1,1,0,0
379097,2,5,2013-12-06,4816,544,1,1,0,0
380212,2,6,2013-12-07,2534,302,1,0,0,0
381327,2,7,2013-12-08,0,0,0,0,0,0
382442,2,1,2013-12-09,4392,587,1,0,0,0
383557,2,2,2013-12-10,4994,629,1,0,0,0
384672,2,3,2013-12-11,6052,732,1,0,0,0
385787,2,4,2013-12-12,5232,591,1,0,0,0
386902,2,5,2013-12-13,4808,546,1,0,0,0
388017,2,6,2013-12-14,3236,353,1,0,0,0
389132,2,7,2013-12-15,0,0,0,0,0,0
390247,2,1,2013-12-16,10479,925,1,1,0,0
391362,2,2,2013-12-17,10374,882,1,1,0,0
392477,2,3,2013-12-18,10019,1011,1,1,0,0
393592,2,4,2013-12-19,8559,823,1,1,0,0
394707,2,5,2013-12-20,7574,801,1,1,0,0
395822,2,6,2013-12-21,4941,539,1,0,0,0
396937,2,7,2013-12-22,0,0,0,0,0,0
398052,2,1,2013-12-23,8640,971,1,0,0,1
399167,2,2,2013-12-24,2407,277,1,0,0,1
400282,2,3,2013-12-25,0,0,0,0,c,1
401397,2,4,2013-12-26,0,0,0,0,c,1
402512,2,5,2013-12-27,5582,659,1,0,0,1
403627,2,6,2013-12-28,3561,416,1,0,0,0
404742,2,7,2013-12-29,0,0,0,0,0,0
405857,2,1,2013-12-30,7528,852,1,0,0,1
406972,2,2,2013-12-31,2148,268,1,0,0,1
408087,2,3,2014-01-01,0,0,0,0,a,1
409202,2,4,2014-01-02,3759,531,1,0,0,1
410317,2,5,2014-01-03,4802,560,1,0,0,1
411432,2,6,2014-01-04,2760,321,1,0,0,0
412547,2,7,2014-01-05,0,0,0,0,0,0
413662,2,1,2014-01-06,8317,823,1,1,0,0
414777,2,2,2014-01-07,6567,727,1,1,0,0
415892,2,3,2014-01-08,6597,796,1,1,0,0
417007,2,4,2014-01-09,6081,643,1,1,0,0
418122,2,5,2014-01-10,5146,628,1,1,0,0
419237,2,6,2014-01-11,2872,358,1,0,0,0
420352,2,7,2014-01-12,0,0,0,0,0,0
421467,2,1,2014-01-13,4290,552,1,0,0,0
422582,2,2,2014-01-14,4195,497,1,0,0,0
423697,2,3,2014-01-15,4919,673,1,0,0,0
424812,2,4,2014-01-16,3998,507,1,0,0,0
425927,2,5,2014-01-17,3868,480,1,0,0,0
427042,2,6,2014-01-18,2497,322,1,0,0,0
428157,2,7,2014-01-19,0,0,0,0,0,0
429272,2,1,2014-01-20,7082,739,1,1,0,0
430387,2,2,2014-01-21,6564,691,1,1,0,0
431502,2,3,2014-01-22,5451,680,1,1,0,0
432617,2,4,2014-01-23,5010,531,1,1,0,0
433732,2,5,2014-01-24,4701,531,1,1,0,0
434847,2,6,2014-01-25,2274,290,1,0,0,0
435962,2,7,2014-01-26,0,0,0,0,0,0
437077,2,1,2014-01-27,3708,507,1,0,0,0
438192,2,2,2014-01-28,3677,497,1,0,0,0
439307,2,3,2014-01-29,4292,567,1,0,0,0
440422,2,4,2014-01-30,4214,493,1,0,0,0
441537,2,5,2014-01-31,4608,550,1,0,0,0
442652,2,6,2014-02-01,2929,353,1,0,0,0
443767,2,7,2014-02-02,0,0,0,0,0,0
444882,2,1,2014-02-03,7372,791,1,1,0,0
445997,2,2,2014-02-04,7036,671,1,1,0,0
447112,2,3,2014-02-05,7198,820,1,1,0,0
448227,2,4,2014-02-06,6012,670,1,1,0,0
449342,2,5,2014-02-07,4848,565,1,1,0,0
450457,2,6,2014-02-08,2484,331,1,0,0,0
451572,2,7,2014-02-09,0,0,0,0,0,0
452687,2,1,2014-02-10,4006,532,1,0,0,0
453802,2,2,2014-02-11,4056,532,1,0,0,0
454917,2,3,2014-02-12,4848,654,1,0,0,0
456032,2,4,2014-02-13,4171,498,1,0,0,0
457147,2,5,2014-02-14,4324,527,1,0,0,0
458262,2,6,2014-02-15,2509,300,1,0,0,0
459377,2,7,2014-02-16,0,0,0,0,0,0
460492,2,1,2014-02-17,7584,761,1,1,0,1
461607,2,2,2014-02-18,5979,644,1,1,0,1
462722,2,3,2014-02-19,6419,774,1,1,0,1
463837,2,4,2014-02-20,4961,584,1,1,0,1
464952,2,5,2014-02-21,4790,527,1,1,0,1
466067,2,6,2014-02-22,2563,316,1,0,0,0
467182,2,7,2014-02-23,0,0,0,0,0,0
468297,2,1,2014-02-24,3894,499,1,0,0,0
469412,2,2,2014-02-25,3520,489,1,0,0,0
470527,2,3,2014-02-26,4548,632,1,0,0,0
471642,2,4,2014-02-27,3998,493,1,0,0,0
472757,2,5,2014-02-28,4400,555,1,0,0,0
473872,2,6,2014-03-01,3350,373,1,0,0,0
474987,2,7,2014-03-02,0,0,0,0,0,0
476102,2,1,2014-03-03,7332,760,1,1,0,0
477217,2,2,2014-03-04,6006,630,1,1,0,0
478332,2,3,2014-03-05,6740,802,1,1,0,0
479447,2,4,2014-03-06,5173,611,1,1,0,0
480562,2,5,2014-03-07,5275,593,1,1,0,0
481677,2,6,2014-03-08,2863,353,1,0,0,0
482792,2,7,2014-03-09,0,0,0,0,0,0
483907,2,1,2014-03-10,3799,516,1,0,0,0
485022,2,2,2014-03-11,3575,501,1,0,0,0
486137,2,3,2014-03-12,4581,658,1,0,0,0
487252,2,4,2014-03-13,4172,551,1,0,0,0
488367,2,5,2014-03-14,3321,430,1,0,0,0
489482,2,6,2014-03-15,2678,333,1,0,0,0
490597,2,7,2014-03-16,0,0,0,0,0,0
491712,2,1,2014-03-17,7054,743,1,1,0,0
492827,2,2,2014-03-18,5805,644,1,1,0,0
493942,2,3,2014-03-19,6275,747,1,1,0,0
495057,2,4,2014-03-20,4950,574,1,1,0,0
496172,2,5,2014-03-21,4993,551,1,1,0,0
497287,2,6,2014-03-22,2569,314,1,0,0,0
498402,2,7,2014-03-23,0,0,0,0,0,0
499517,2,1,2014-03-24,3893,523,1,0,0,0
500632,2,2,2014-03-25,4086,503,1,0,0,0
501747,2,3,2014-03-26,5059,682,1,0,0,0
502862,2,4,2014-03-27,4350,523,1,0,0,0
503977,2,5,2014-03-28,4409,489,1,0,0,0
505092,2,6,2014-03-29,2815,328,1,0,0,0
506207,2,7,2014-03-30,0,0,0,0,0,0
507322,2,1,2014-03-31,9908,963,1,1,0,0
508437,2,2,2014-04-01,4862,587,1,1,0,0
509552,2,3,2014-04-02,7013,825,1,1,0,0
510667,2,4,2014-04-03,5078,581,1,1,0,0
511782,2,5,2014-04-04,5016,566,1,1,0,0
512897,2,6,2014-04-05,2655,330,1,0,0,0
514012,2,7,2014-04-06,0,0,0,0,0,0
515127,2,1,2014-04-07,3941,528,1,0,0,0
516242,2,2,2014-04-08,4475,519,1,0,0,0
517357,2,3,2014-04-09,5142,706,1,0,0,0
518472,2,4,2014-04-10,3691,471,1,0,0,0
519587,2,5,2014-04-11,4701,516,1,0,0,0
520702,2,6,2014-04-12,2574,328,1,0,0,0
521817,2,7,2014-04-13,0,0,0,0,0,0
522932,2,1,2014-04-14,7714,758,1,1,0,0
524047,2,2,2014-04-15,7701,747,1,1,0,0
525162,2,3,2014-04-16,7317,876,1,1,0,0
